Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,model_range,NFW_range,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC7817,MRK335,Lya,"2166, 2402",1,2274,150,6,3.08E+13,1.38E+12,73.4,2.8,122.2,4.7,slightly blended with Lya@1954,0.007702,0.02578,342.87,0.99546,20.75233,1.58125,20.20305556,2309,2309,4,180.4,10,180.4,10,"[-26, -24]","[-26, -24]",2061,25.3,20.29,5.275,2.8,0.72,138.68,75,1,45,45,90,northeast,-45,.SA.4*/,212.89,0.26,45,202396,2,20.1,SAbc:_sp,0,TF,12.9,-99.99,0.79,0.5,-99.99,-99.99
NGC4529,MRK771,Lya,"2490, 2624",1,2553,240,10,6.41E+13,3.49E+12,40.3,1.9,67,3.1,looks blended,0.008459,0.06301,158.5,188.21519,20.1835,188.015,20.15833333,2536,2536,11,106.4,1,106.4,1,"[-103, -40]","[-105, -35]",2834,47.9,10.75,3.871,1.3,0.46,89.47,69,2,105,105,22.6,northwest,15,.S..6*.,125.36,0.17,99,-99,-99,-99.99,Scd:,0,TF,13.8,15.4,1.2,0.64,0.26,0.14
NGC6140,MRK876,Lya,"816, 1040",1,939,379,5,1.05E+14,1.71E+12,59.8,1.7,99.5,2.9,in pilot,0.003035,0.129,113.09,245.24233,65.39056,243.4883333,65.71972222,910,910,4,138.11,4.236,138.11,4.236,"[40, 101]","[35, 102]",1035,8.13,6.716,4.836,4.1,3,64.67,44,4,60,94,20.5,southeast,4,.SBS6P.,378.57,0.72,95,113004,1,9.1,SB(s)cd_pec,0,TF,11.8,-99.99,0.2,0.56,-99.99,-99.99
NGC3432,MS1047.3+3518,no,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,low SN,0.002055,0.04125,326.329,163.12971,36.61878,162.5454167,35.03388889,616,616,4,122,5,122,5,"[35, 124]","[19, 109]",871,11.3,28.98,5.796,11,2.2,177.36,78,0,43,43,26.2,northeast,-47,.SBS9./,405.65,0.22,38,112910,1,8.9,SB(s)m;LINER_HII,0,TF,11.7,-99.99,0.42,0.72,-99.99,-99.99
UGC04238,PG0804+761,Lya,"1077, 1237",1,1143,183,5,4.38E+13,1.31E+12,43.1,2.5,71.7,4.2,,0.00515,0.102,147.88,122.90321,76.42164,122.7445833,76.04527778,1544,1544,7,91.6,10,91.6,10,"[-3, 86]","[-6, 94]",1639,22.4,13.8,4.417,2.6,0.83,106.3,75,1,65,65,59.2,northeast,-25,.SB.7..,143.93,0.58,83,113011,1,15.7,SBd,0,TF,12.9,-99.99,0.58,0.51,-99.99,-99.99
UGC04238,PG0804+761,Lya,"1467, 1577",4,1526,62,4,1.23E+13,7.52E+11,38.3,2.1,63.9,3.5,blended with Lya@1593,0.00515,0.102,147.88,122.90321,76.42164,122.7445833,76.04527778,1544,1544,7,91.6,10,91.6,10,"[-3, 86]","[-6, 94]",1639,22.4,13.8,4.417,2.6,0.83,106.3,75,1,65,65,59.2,northeast,-25,.SB.7..,143.93,0.58,83,113011,1,15.7,SBd,0,TF,12.9,-99.99,0.58,0.51,-99.99,-99.99
UGC04238,PG0804+761,Lya,"1577, 1671",6,1593,32,3,6.14E+12,6.31E+11,35.1,2.4,58.5,4,blended with Lya@1526,0.00515,0.102,147.88,122.90321,76.42164,122.7445833,76.04527778,1544,1544,7,91.6,10,91.6,10,"[-3, 86]","[-6, 94]",1639,22.4,13.8,4.417,2.6,0.83,106.3,75,1,65,65,59.2,northeast,-25,.SB.7..,143.93,0.58,83,113011,1,15.7,SBd,0,TF,12.9,-99.99,0.58,0.51,-99.99,-99.99
UGC08146,PG1259+593,Lya,"580, 670",8,646,133,7,3.09E+13,1.98E+12,35.7,3.8,59.4,6.3,blended with Lya@683,0.002235,0.4778,114.466,195.53375,58.70131,195.30375,59.03527778,670,670,1,82.4,10,82.4,10,"[-13, 82]","[-15, 91]",878,18.5,6.018,1.204,0.93,0.19,59.95,78,0,30,30,49.5,southwest,120,.S..7..,208.04,0.1,30,-99,-99,-99.99,Scd,0,TF,13.1,-99.99,0.31,0.22,-99.99,-99.99
UGC08146,PG1259+593,Lya,"670, 778",1,683,168,7,4.26E+13,2.05E+12,34.1,2.6,56.9,4.3,blended with Lya@683,0.002235,0.4778,114.466,195.53375,58.70131,195.30375,59.03527778,670,670,1,82.4,10,82.4,10,"[-13, 82]","[-15, 91]",878,18.5,6.018,1.204,0.93,0.19,59.95,78,0,30,30,49.5,southwest,120,.S..7..,208.04,0.1,30,-99,-99,-99.99,Scd,0,TF,13.1,-99.99,0.31,0.22,-99.99,-99.99
NGC4939,PG1302-102,Lya,"3402, 3492",1,3448,72,6,1.50E+13,1.28E+12,29.4,2,49,3.3,in pilot paper,0.010374,0.2784,253.7118826,196.05996,-10.33961,196.3875,-10.55527778,3110,3092.8,33,-204,25,-275,49,"[-219, 14]","[-119, 36]",3382,37.5,41.85,28.88,11,7.3,228.54,48,4,5,5,61.2,southwest,95,.SAS4..,329.72,0.51,10,102770,2,35.7,SA(s)bc_Sy2,0,TF,11.6,-99.99,5.5,6.5,-99.99,-99.99
