targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RBS567,5259,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,0,FALSE,FALSE,5259,"5192, 5312",134,3.00E+13,40,Lya,could be 2 blended? : NO GALAXIES
RBS567,6370,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,0,FALSE,FALSE,6370,"6339, 6393",35,7.16E+12,17.9,Lya,weak : NO GALAXIES
RBS567,8033,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,0,FALSE,FALSE,8033,"8029, 8057",13,2.68E+12,8.1,Lya,super weak : NO GALAXIES
RBS567,9119,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,0,FALSE,FALSE,9119,"9087, 9151",32,6.44E+12,27.8,Lya,super weak : NO GALAXIES
HE0439-5254,613,UGC05470,4,"('70.05', '-52.805')","('152.11708', '12.30639')",0,0,14.89814137,0.715541753,414.7945703,x,534,285,-328,0.25,x,0.8,0.6,41,80,44.3,586.34,dE.3...,0.83,80,E;dSph,E;dSph,0.000951,1.053,x,0,FALSE,FALSE,613,"506, 676",154,3.27E+13,61.3,Lya,hard to fit cont : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0439-5254,1005,NGC1705,4,"('70.05', '-52.805')","('73.55625', '-53.36106')",1.95E-20,0,29.94136874,3.263127334,193.8651608,x,510,633,-372,5.1,x,2.2,1.7,41,78,26.7,114.33,.LA.-P*,-99.99,50,SA0-_pec:;HII_BCDG,SA0-_pec:;HII_BCDG,0.002112,1.053,x,0,FALSE,FALSE,1005,"959, 1045",55,1.10E+13,31.2,Lya,hard to fit cont : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0439-5254,1148,NGC1566,3,"('70.05', '-52.805')","('65.00175', '-54.93781')",4.67E-09,2.11E-27,114.1397948,59.84627808,456.7690963,x,1361,1504,356,7.15,x,15.3,10.5,46,170,65,499.06,.SXS4..,0.79,60,(R'_1)SAB(rs)bcSy1,(R'_1)SAB(rs)bcSy1,0.005017,1.053,x,0,FALSE,FALSE,1148,"1090, 1194",72,1.46E+13,42.5,Lya,hard to fit cont : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0439-5254,1649,NGC1566GROUP:[KKF2005]17,3,"('70.05', '-52.805')","('69.90367', '-53.01264')",0.941734157,0.053595229,109.9876496,55.21435502,94.11205801,x,1545,1678,29,23.9,x,14.5,3.3,77,28,4.9,116.99,.S?....,0.74,28,S?,S?,0.005597,1.053,x,1,TRUE,TRUE,1649,"1554, 1752",501,2.09E+14,52.7,Lya,hard to fit cont
HE0439-5254,3853,PGC015802,1,"('70.05', '-52.805')","('70.18337', '-52.75828')",1.072761371,0.081818333,108.9386191,54.07593735,85.41865493,x,3738,3871,18,52.5,x,14.3,2.7,79,35,24.9,99.58,.S.4*P/,0.19,64,Sbc:_pec_sp,Sbc:_pec_sp,0.012912,1.053,x,1,TRUE,TRUE,3853,"3777, 3923",322,1.03E+14,41.5,Lya,hard to fit cont : ONLY 1 GALAXY
HE0439-5254,4656,x,0,"('70.05', '-52.805')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1.053,x,0,FALSE,FALSE,4656,"4614, 4690",64,1.33E+13,29.8,Lya,hard to fit cont : NO GALAXIES
HE0439-5254,5291,x,0,"('70.05', '-52.805')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1.053,x,0,FALSE,FALSE,5291,"5249, 5319",40,8.04E+12,23.5,Lya,hard to fit cont : NO GALAXIES
HE0439-5254,5879,ADF-S051,1,"('70.05', '-52.805')","('69.72732', '-52.86293')",-99.99,-99.99,-99.99,-99.99,293.0381484,x,5862,5996,117,82.56,x,-99.99,-99.99,-99,-99,7.5,-99.99,x,-99.99,-99,x,x,0.02,1.053,x,0,FALSE,FALSE,5879,"5840, 5912",38,7.49E+12,28.9,Lya,hard to fit cont : ONLY 1 GALAXY
HE0439-5254,6348,ADF-S051,1,"('70.05', '-52.805')","('69.72732', '-52.86293')",-99.99,-99.99,-99.99,-99.99,293.0381484,x,5862,5996,-352,82.56,x,-99.99,-99.99,-99,-99,7.5,-99.99,x,-99.99,-99,x,x,0.02,1.053,x,0,FALSE,FALSE,6348,"6312, 6380",42,8.59E+12,23.8,Lya,hard to fit cont : ONLY 1 GALAXY
HE0439-5254,8063,x,0,"('70.05', '-52.805')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1.053,x,0,FALSE,FALSE,8063,"8034, 8088",33,6.58E+12,18.4,Lya,hard to fit cont : NO GALAXIES
